bin,accounts,predicted,observed,gap
1,600,0.03138430374592543,0.041666666666666664,-0.010282362920741236
2,599,0.06002010862795459,0.07345575959933222,-0.013435650971377631
3,599,0.0848543062209088,0.09015025041736227,-0.005295944196453475
4,599,0.10030100444869725,0.11018363939899833,-0.009882634950301089
5,600,0.1467398879304528,0.165,-0.018260112069547196
6,599,0.18225634986152234,0.15859766277128548,0.023658687090236857
7,599,0.21095709373337995,0.18363939899833054,0.027317694735049414
8,599,0.2667095327317615,0.27879799666110183,-0.01208846392934032
9,599,0.44371227504614,0.41402337228714525,0.029688902758994773
10,600,0.7272155075632731,0.6966666666666667,0.030548840896606477
