bin,accounts,predicted,observed,gap
1,600,0.046814863,0.04,0.0068148626387119285
2,599,0.06631393,0.07011686143572621,-0.003802931579902691
3,599,0.08530905,0.09515859766277128,-0.009849546685541208
4,599,0.10770341,0.10517529215358931,0.002528117935426649
5,600,0.13208139,0.16,-0.027918610572814945
6,599,0.15690036,0.1652754590984975,-0.00837509791819202
7,599,0.19763562,0.17195325542570952,0.025682365406733715
8,599,0.2748226,0.29716193656093487,-0.022339343825644342
9,599,0.4258135,0.4040066777963272,0.02180681831649628
10,600,0.70523614,0.7033333333333334,0.0019028035799661946
