risk_decile,accounts,mean_pd,total_ead,expected_loss,observed_default_rate,el_rate_on_ead,share_of_ead,share_of_el,el_concentration
1,600,0.03138430374592543,90106108.75,1785488.4318753462,0.041666666666666664,0.019815398274818367,0.16412555135578538,0.027188251692951023,0.1656552040091145
2,599,0.06002010862795459,77860400.95,3015531.0340961856,0.07345575959933222,0.038729970528056795,0.14182036503381093,0.04591853706764082,0.3237795718315457
3,599,0.0848543062209088,64635477.9,3560006.3121118923,0.09015025041736227,0.05507820824996008,0.11773156775546786,0.0542094509906911,0.46044958055163093
4,599,0.10030100444869725,59299516.35,3844223.582709564,0.11018363939899833,0.06482723332885267,0.10801227520631514,0.058537325957865656,0.5419506796431519
5,600,0.1467398879304528,52118860.699999996,4931586.4477107795,0.165,0.09462191578011182,0.09493292815647056,0.07509497748191953,0.791031931071865
6,599,0.18225634986152234,44300016.65,5236696.595967529,0.15859766277128548,0.11820981101070376,0.08069114024138482,0.07974099554441978,0.9882249191903508
7,599,0.21095709373337995,41527250.65,5674112.259534581,0.18363939899833054,0.13663587573752806,0.07564063084925024,0.08640167558198748,1.1422654017016822
8,599,0.2667095327317615,38908188.8,6681363.411355905,0.27879799666110183,0.1717212653022776,0.07087008891675164,0.10173943826072374,1.4355765572727461
9,599,0.44371227504614,37010772.9,10635210.0836624,0.41402337228714525,0.28735444440454794,0.06741400325220746,0.16194603302935945,2.402261032080995
10,600,0.7272155075632731,43240602.4,20307103.853132334,0.6966666666666667,0.46963045670086073,0.07876144923255601,0.30922331439244144,3.926074461624103
