feature,coefficient_log_odds,odds_ratio,direction
months_2plus_delinquent,0.6991163459194453,2.0119740326556603,increases risk
education_label_Other,-0.6039310617246619,0.5466584585869682,reduces risk
util_max,-0.39065626287595,0.6766126929723892,reduces risk
months_delinquent,-0.36982103354572565,0.6908579599737764,reduces risk
dpd_latest,0.3547819204443569,1.425869667349306,increases risk
util_mean,0.3079520974217177,1.360635809412655,increases risk
log_limit_bal,-0.2923844008338133,0.746481532691148,reduces risk
full_payer_months,0.26989516908503336,1.3098271331589924,increases risk
bill_latest,0.24633085735012072,1.2793227768718165,increases risk
pay_ratio_mean,-0.22652600336597345,0.7972986095958926,reduces risk
dpd_max,0.21915005784437644,1.2450180874013792,increases risk
marriage_label_Single,-0.18360469038589408,0.8322647410599852,reduces risk
bill_mean,-0.14837854039289464,0.8621047117112519,reduces risk
inactive_months,0.11645663735918493,1.1235087911027504,increases risk
bill_growth_6m,-0.10569685265240009,0.8996973476043353,reduces risk
dpd_trend,0.10370992499536867,1.109278634236808,increases risk
months_paid_nothing,0.10082042861392387,1.1060780039688443,increases risk
util_volatility,0.08846965252617756,1.0925010974589382,increases risk
util_latest,-0.08563084794573524,0.9179330255450505,reduces risk
sex_label_Male,0.08041741204701741,1.083739339132595,increases risk
education_label_High school,-0.07751074010280638,0.9254170852686288,reduces risk
util_trend,0.06998797385972401,1.0724952831979386,increases risk
revolver_months,-0.06072713674795325,0.9410799908921954,reduces risk
pay_ratio_latest,-0.0547306567043015,0.9467401117174122,reduces risk
paid_to_billed_6m,-0.047721952528179054,0.9533988403642993,reduces risk
months_over_90pct_util,0.030358125740079837,1.0308236323339781,increases risk
marriage_label_Other,-0.0275075046859728,0.9728673814618668,reduces risk
AGE,0.010570033799317272,1.0106260939517073,increases risk
available_credit,0.007354203040293151,1.0073813116046881,increases risk
education_label_University,-0.005415137931755484,0.9945994974981137,reduces risk
pay_ratio_min,0.0016654993227271852,1.0016668870370296,increases risk
