feature,auc_drop_mean,auc_drop_std
dpd_latest,0.032705000709386894,0.0044012337308035375
dpd_max,0.014088441000174173,0.002508002045555444
available_credit,0.013560884952949395,0.001764637437047118
bill_mean,0.008006437646179768,0.0021914874359920816
bill_latest,0.007329884080678098,0.0014011730537149872
months_2plus_delinquent,0.002563862196656233,0.0007796628459363451
log_limit_bal,0.0025127083682774665,0.0008991856373827525
education_label,0.0018016954024938497,0.0006520865462752118
inactive_months,0.0017610248266041462,0.0003935924557133889
paid_to_billed_6m,0.00128426912621947,0.00033100447253935924
months_delinquent,0.0011904450263895278,0.0008129096004785274
pay_ratio_min,0.0011376651829329426,0.0011379151008859697
pay_ratio_mean,0.0010178147423858808,0.0005794576166102882
util_volatility,0.0008922883982753482,0.00037764343709112766
marriage_label,0.0007973634559392956,0.0004067107289758079
pay_ratio_latest,0.0006929046115322773,0.0005883138401209769
bill_growth_6m,0.0005741651129637926,0.0003508767461053835
sex_label,0.0005622881332652402,0.00024321155094237745
util_latest,0.000436630496011739,0.0003081107048630247
util_max,0.0002874006898667125,0.00020313756970499676
AGE,0.000264676876667827,0.00030876815806123116
full_payer_months,0.00024628573718550595,0.0002914572991241802
util_mean,0.00019820214845672757,0.00022955973523708788
months_paid_nothing,0.0001379587947984151,0.000268017584886905
revolver_months,5.747609818433641e-05,0.0002734322291111275
dpd_trend,5.576928732624331e-05,0.0001524605548830786
util_trend,-1.7704375350091617e-05,0.00029176673388284376
months_over_90pct_util,-6.460632579252668e-05,0.00012976450608118248
