decile,accounts,defaults,observed_default_rate,mean_predicted_pd,min_predicted_pd,max_predicted_pd,exposure,share_of_exposure,lift,cumulative_defaults_captured,cumulative_accounts
1,600,25,0.041666666666666664,0.03138430374592543,0.0003,0.05113636329770088,90106108.75,0.16412555135578538,0.18831699346405226,1.0,1.0
2,599,44,0.07345575959933222,0.06002010862795459,0.05113636329770088,0.07655502110719681,77860400.95,0.14182036503381093,0.3319912272087466,0.9811463046757164,0.8998831970632405
3,599,54,0.09015025041736227,0.0848543062209088,0.07655502110719681,0.08589951694011688,64635477.9,0.11773156775546786,0.4074437788470981,0.9479638009049773,0.7999332554647088
4,599,66,0.11018363939899833,0.10030100444869725,0.08589951694011688,0.1083650216460228,59299516.35,0.10801227520631514,0.4979868408131199,0.9072398190045249,0.6999833138661772
5,600,99,0.165,0.1467398879304528,0.1083650216460228,0.16701030731201172,52118860.699999996,0.09493292815647056,0.745735294117647,0.8574660633484162,0.6000333722676456
6,599,95,0.15859766277128548,0.18225634986152234,0.16701030731201172,0.19957081973552704,44300016.65,0.08069114024138482,0.7167992405643392,0.7828054298642534,0.499916569330886
7,599,110,0.18363939899833054,0.21095709373337995,0.19957081973552704,0.222520112991333,41527250.65,0.07564063084925024,0.8299780680218665,0.7111613876319759,0.3999666277323544
8,599,167,0.27879799666110183,0.2667095327317615,0.222520112991333,0.38349515199661255,38908188.8,0.07087008891675164,1.26005761236047,0.6282051282051282,0.3000166861338228
9,599,248,0.41402337228714525,0.44371227504614,0.38349515199661255,0.5806451439857483,37010772.9,0.06741400325220746,1.871223280631117,0.502262443438914,0.20006674453529116
10,600,418,0.6966666666666667,0.7272155075632731,0.5806451439857483,0.9997,43240602.4,0.07876144923255601,3.148660130718954,0.3152337858220211,0.10011680293675955
