scenario,limit_band,accounts,mean_pd,total_ead,expected_loss,observed_default_rate,el_rate_on_ead,share_of_ead,share_of_el,el_concentration
Baseline,Q1 lowest,1510,0.33446124273248856,40190149.65,8206141.964130843,0.31059602649006623,0.20418291635126676,0.0732051418253901,0.12495777019094866,1.7069534608511465
Baseline,Q2,965,0.2584391263110465,53349928.95,9031198.703422463,0.27253886010362693,0.16928230048603396,0.09717528173372293,0.13752119535146076,1.415186999182494
Baseline,Q3,1240,0.20343916974360904,107191331.39999999,14369280.661997376,0.20241935483870968,0.13405263722657126,0.19524576758049947,0.2188060209803216,1.1206697266311203
Baseline,Q4,1069,0.16372533006911194,124082458.3,13399583.079508092,0.14873713751169318,0.10798934243478067,0.22601244426803357,0.20404009952818788,0.9027825887596341
Baseline,Q5 highest,1209,0.14013583915067468,224193327.75,20665117.603097744,0.152191894127378,0.09217543541769273,0.408361364592354,0.31467491394908104,0.7705795435942004
Moderate deterioration,Q1 lowest,1510,0.4094178228585442,42213203.55,12285441.578774335,0.31059602649006623,0.29103314947946746,0.06813518773138652,0.11426697214278826,1.6770625567697834
Moderate deterioration,Q2,965,0.3199568299874481,57039170.65,13719561.682001192,0.27253886010362693,0.24052877216932664,0.09206537939431848,0.12760573256373722,1.3860338533684682
Moderate deterioration,Q3,1240,0.259371964988627,118701895.8,23131109.131951984,0.20241935483870968,0.19486722580172966,0.19159351279333267,0.21514259669584015,1.1229116975787656
Moderate deterioration,Q4,1069,0.2137739346725028,141802080.1,22840218.521605957,0.14873713751169318,0.1610711105612756,0.22887889417989005,0.2124370212343577,0.928163437679799
Moderate deterioration,Q5 highest,1209,0.18265909887175044,259794354.25,35538914.72832187,0.152191894127378,0.136796331971567,0.41932702590107224,0.3305476773632766,0.7882813578566231
Severe deterioration,Q1 lowest,1510,0.4900814061711508,44236257.45,17616712.528858244,0.31059602649006623,0.39824147756555395,0.0641017655837604,0.10431999747612529,1.627412233128159
Severe deterioration,Q2,965,0.38932675302847475,60728412.35,20071739.996459823,0.27253886010362693,0.3305164620602801,0.08800017626115068,0.11885780972710454,1.3506542234004197
Severe deterioration,Q3,1240,0.32457697746297504,130212460.2,35768461.38469476,0.20241935483870968,0.2746930772197695,0.18868794696883046,0.21180829256672193,1.122532180615176
Severe deterioration,Q4,1069,0.2740121749229345,159521701.9,37121682.02170185,0.14873713751169318,0.23270615583685575,0.23115930980992846,0.21982159091656842,0.9509527913771566
Severe deterioration,Q5 highest,1209,0.23419647927089138,295395380.75,58293269.05169859,0.152191894127378,0.19733981250381685,0.42805080137633006,0.3451923093134798,0.8064283683234984
