segment_type,segment,accounts,defaults,observed_default_rate,mean_predicted_pd,roc_auc,brier,calibration_gap
age_band,21-25,775,189,0.24387096774193548,0.27273877862108525,0.7865314119580331,0.14322145289777713,0.028867810879149775
age_band,26-30,1427,289,0.2025227750525578,0.20948437988345617,0.7589758636836313,0.13180848261194034,0.00696160483089836
age_band,31-35,1141,216,0.18930762489044697,0.19995088001641914,0.7787862862862863,0.12277597872634796,0.010643255125972167
age_band,36-40,971,221,0.22760041194644695,0.22205684792891098,0.7568748114630468,0.14424160636264433,-0.0055435640175359735
age_band,41-50,1209,285,0.23573200992555832,0.2318142636109202,0.7961266803372066,0.1347046332059063,-0.003917746314638121
age_band,51-60,412,106,0.25728155339805825,0.24913930759699018,0.7912504624491306,0.1385043173630913,-0.008142245801068065
age_band,60+,58,20,0.3448275862068966,0.24421818753511743,0.8177631578947369,0.18482662002620237,-0.10060939867177915
limit_band,Q1 lowest,1510,469,0.31059602649006623,0.33446124273248856,0.7470254737018899,0.17341874452314904,0.023865216242422327
limit_band,Q2,965,263,0.27253886010362693,0.2584391263110465,0.787486594520815,0.14813734298445502,-0.014099733792580449
limit_band,Q3,1240,251,0.20241935483870968,0.20343916974360904,0.7689122176612055,0.13260281711129432,0.0010198149048993577
limit_band,Q4,1069,159,0.14873713751169318,0.16372533006911194,0.7427983965719815,0.10490161894497983,0.014988192557418761
limit_band,Q5 highest,1209,184,0.152191894127378,0.1401358391506747,0.7710206786850476,0.10628021701308381,-0.012056054976703284
education_label,Graduate school,2090,375,0.17942583732057416,0.18957731945179865,0.7446561710398444,0.1219290200087855,0.010151482131224493
education_label,High school,1044,275,0.26340996168582376,0.25598665765197626,0.7751980139496394,0.1545500154491616,-0.0074233040338475
education_label,Other,90,5,0.05555555555555555,0.10621742208994098,0.5800000000000001,0.05946740539317858,0.050661866534385425
education_label,University,2769,671,0.24232574936800289,0.24489533226591625,0.7907303670091025,0.140245941501007,0.0025695828979133695
marriage_label,Married,2756,663,0.24056603773584906,0.235584128828922,0.7860392935151936,0.13894718005482148,-0.004981908906927068
marriage_label,Other,65,15,0.23076923076923078,0.2660765193689328,0.6940000000000001,0.16890450511562038,0.035307288599702
marriage_label,Single,3172,648,0.2042875157629256,0.215818593462752,0.7707397869343197,0.13113421355149985,0.01153107769982642
sex_label,Female,3661,757,0.20677410543567332,0.21602698984616556,0.7931361925972831,0.12541954320945792,0.00925288441049224
sex_label,Male,2332,569,0.2439965694682676,0.24025154436043183,0.754285264273332,0.15039193771832565,-0.0037450251078357533
