pd_odds_multiplier,lgd,total_ead,total_expected_loss,el_rate_on_ead
1.0,0.45,549007196.05,45464761.39303143,0.08281268755699661
1.0,0.55,549007196.05,55568041.702593975,0.10121550701410698
1.0,0.65,549007196.05,65671322.01215652,0.11961832647121734
1.0,0.75,549007196.05,75774602.32171905,0.13802114592832768
1.0,0.85,549007196.05,85877882.63128158,0.15642396538543804
1.25,0.45,549007196.05,52025138.119425125,0.09476221531108496
1.25,0.55,549007196.05,63586279.92374182,0.11582048538021494
1.25,0.65,549007196.05,75147421.72805852,0.13687875544934494
1.25,0.75,549007196.05,86708563.5323752,0.1579370255184749
1.25,0.85,549007196.05,98269705.33669189,0.17899529558760488
1.5,0.45,549007196.05,57872929.68205622,0.10541379074525925
1.5,0.55,549007196.05,70733580.72251315,0.1288390775775391
1.5,0.65,549007196.05,83594231.76297009,0.15226436440981891
1.5,0.75,549007196.05,96454882.80342703,0.17568965124209876
1.5,0.85,549007196.05,109315533.84388396,0.19911493807437858
1.75,0.45,549007196.05,63162338.703353606,0.11504828927160583
1.75,0.55,549007196.05,77198413.97076552,0.14061457577640712
1.75,0.65,549007196.05,91234489.23817743,0.16618086228120843
1.75,0.75,549007196.05,105270564.50558934,0.1917471487860097
1.75,0.85,549007196.05,119306639.77300124,0.21731343529081099
2.0,0.45,549007196.05,67998067.28101656,0.12385642259381924
2.0,0.55,549007196.05,83108748.89902024,0.15138007205911239
2.0,0.65,549007196.05,98219430.5170239,0.17890372152440553
2.0,0.75,549007196.05,113330112.13502759,0.2064273709896987
2.0,0.85,549007196.05,128440793.75303127,0.23395102045499186
2.25,0.45,549007196.05,72455399.5574296,0.13197531849988872
2.25,0.55,549007196.05,88556599.45908062,0.16130316705541956
2.25,0.65,549007196.05,104657799.36073165,0.1906310156109504
2.25,0.75,549007196.05,120758999.26238266,0.2199588641664812
2.25,0.85,549007196.05,136860199.16403368,0.24928671272201203
2.5,0.45,549007196.05,76590815.73933214,0.1395078539778498
2.5,0.55,549007196.05,93610997.01473929,0.17050959930626086
2.5,0.65,549007196.05,110631178.29014643,0.2015113446346719
2.5,0.75,549007196.05,127651359.56555356,0.23251308996308295
2.5,0.85,549007196.05,144671540.8409607,0.26351483529149405
