feature,mean_abs_shap,mean_shap
dpd_latest,0.35384896,-0.094461225
dpd_max,0.27732784,-0.017618913
available_credit,0.13992028,-0.022009958
bill_mean,0.13194628,-0.008615332
bill_latest,0.13135807,-0.017600898
months_2plus_delinquent,0.1100817,-0.029386297
log_limit_bal,0.07719128,-0.0073253736
pay_ratio_min,0.07053403,-0.01317146
months_delinquent,0.06295861,-0.0082118735
pay_ratio_mean,0.0589721,-0.000300765
marriage_label_Single,0.054712668,-0.0013685349
paid_to_billed_6m,0.052482344,-0.008212543
pay_ratio_latest,0.04520276,-0.010770452
util_volatility,0.036145642,-0.006271462
inactive_months,0.0322975,0.0038697652
bill_growth_6m,0.030384034,-0.0038667058
months_paid_nothing,0.025296424,-0.0041145855
util_latest,0.022258403,-0.003602211
AGE,0.020679528,-0.00022861444
util_trend,0.019578075,-0.0022360682
sex_label_Male,0.01845409,-0.00013876383
util_mean,0.018130254,-0.009034869
full_payer_months,0.017028432,-0.0006279709
education_label_Other,0.015756099,-0.0029589941
dpd_trend,0.013127787,0.001196274
util_max,0.010594137,-0.0035075732
months_over_90pct_util,0.01041584,-0.0018042731
education_label_University,0.005341855,0.00011109458
revolver_months,0.0051585753,0.0028101027
education_label_High school,0.0020967904,0.00026139594
marriage_label_Other,0.0,0.0
